wadept,Keycode,Date,Hour,Label
Denver,12S131,2/28/2012,0,4
Denver,12S131,2/28/2012,1,4
Denver,12S131,2/28/2012,2,4
Denver,12S131,2/28/2012,3,4
Denver,12S131,2/28/2012,4,4
Denver,12S131,2/28/2012,5,4
Denver,12S131,2/28/2012,6,2
Denver,12S131,2/28/2012,7,2
Denver,12S131,2/28/2012,8,2
Denver,12S131,2/28/2012,9,2
Denver,12S131,2/28/2012,10,4
Denver,12S131,2/28/2012,11,4
Denver,12S131,2/28/2012,12,4
Denver,12S131,2/28/2012,13,4
Denver,12S131,2/28/2012,14,4
Denver,12S131,2/28/2012,15,4
Denver,12S131,2/28/2012,16,2
Denver,12S131,2/28/2012,17,2
Denver,12S131,2/28/2012,18,4
Denver,12S131,2/28/2012,19,2
Denver,12S131,2/28/2012,20,2
Denver,12S131,2/28/2012,21,3
Denver,12S131,2/28/2012,22,4
Denver,12S131,2/28/2012,23,4
Denver,12S131,3/1/2012,0,4
Denver,12S131,3/1/2012,1,4
Denver,12S131,3/1/2012,2,4
Denver,12S131,3/1/2012,3,4
Denver,12S131,3/1/2012,4,4
Denver,12S131,3/1/2012,5,2
Denver,12S131,3/1/2012,6,3
Denver,12S131,3/1/2012,7,3
Denver,12S131,3/1/2012,8,3
Denver,12S131,3/1/2012,9,4
Denver,12S131,3/1/2012,10,4
Denver,12S131,3/1/2012,11,4
Denver,12S131,3/1/2012,12,4
Denver,12S131,3/1/2012,13,4
Denver,12S131,3/1/2012,14,4
Denver,12S131,3/1/2012,15,4
Denver,12S131,3/1/2012,16,2
Denver,12S131,3/1/2012,17,2
Denver,12S131,3/1/2012,18,2
Denver,12S131,3/1/2012,19,4
Denver,12S131,3/1/2012,20,4
Denver,12S131,3/1/2012,21,4
Denver,12S131,3/1/2012,22,4
Denver,12S131,3/1/2012,23,4
Denver,12S131,3/4/2012,0,3
Denver,12S131,3/4/2012,1,3
Denver,12S131,3/4/2012,2,3
Denver,12S131,3/4/2012,3,3
Denver,12S131,3/4/2012,4,4
Denver,12S131,3/4/2012,5,4
Denver,12S131,3/4/2012,6,4
Denver,12S131,3/4/2012,7,3
Denver,12S131,3/4/2012,8,3
Denver,12S131,3/4/2012,9,2
Denver,12S131,3/4/2012,10,2
Denver,12S131,3/4/2012,11,2
Denver,12S131,3/4/2012,12,2
Denver,12S131,3/4/2012,13,2
Denver,12S131,3/4/2012,14,2
Denver,12S131,3/4/2012,15,2
Denver,12S131,3/4/2012,16,2
Denver,12S131,3/4/2012,17,2
Denver,12S131,3/4/2012,18,2
Denver,12S131,3/4/2012,19,2
Denver,12S131,3/4/2012,20,1
Denver,12S131,3/4/2012,21,1
Denver,12S131,3/4/2012,22,1
Denver,12S131,3/4/2012,23,1
Denver,12S131,3/6/2012,0,4
Denver,12S131,3/6/2012,1,4
Denver,12S131,3/6/2012,2,4
Denver,12S131,3/6/2012,3,4
Denver,12S131,3/6/2012,4,4
Denver,12S131,3/6/2012,5,4
Denver,12S131,3/6/2012,6,4
Denver,12S131,3/6/2012,7,4
Denver,12S131,3/6/2012,8,4
Denver,12S131,3/6/2012,9,4
Denver,12S131,3/6/2012,10,4
